 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.936430242704090E+02 ,     0.420967268056846E+02 ,     0.138235224007403E+03 ,     0.393344946581083E+02 ,     0.490390013030375E+03 ,    -0.767307658344153E+03 ,    -0.868488470023462E+02 ,     0.697235104151172E+03 ,    -0.145858382851049E+02 ,    -0.752899350537435E+01 , 
   0.02000 ,    -0.749238048188542E+02 ,     0.271875892716663E+02 ,     0.118137747264913E+03 ,     0.316156475849904E+02 ,     0.474340844520912E+03 ,    -0.708452210178369E+03 ,    -0.741412405691215E+02 ,     0.664196495239655E+03 ,    -0.580668884727608E+01 ,    -0.607975652435433E+01 , 
   0.04000 ,    -0.322988520170586E+02 ,    -0.597225952620080E+01 ,     0.706190980064640E+02 ,     0.139939121244567E+02 ,     0.422818223763711E+03 ,    -0.557093899998677E+03 ,    -0.441879870704603E+02 ,     0.569368093907109E+03 ,     0.131558155417919E+02 ,    -0.277899111342653E+01 , 
   0.06000 ,     0.511920048909653E+01 ,    -0.325800920064010E+02 ,     0.238652606507337E+02 ,    -0.164525498071494E+01 ,     0.333215461869133E+03 ,    -0.372885097664678E+03 ,    -0.148992192014521E+02 ,     0.428090851002873E+03 ,     0.267743054088445E+02 ,     0.937927520311704E-01 , 
   0.08000 ,     0.165458796670659E+02 ,    -0.352973919870433E+02 ,    -0.489465371273512E-01 ,    -0.685199007072674E+01 ,     0.217379985932502E+03 ,    -0.214361133783090E+03 ,    -0.417077565132939E-01 ,     0.269326981588776E+03 ,     0.249505472229986E+02 ,     0.852824062374280E+00 , 
   0.10000 ,     0.436429471916850E+01 ,    -0.172587081501774E+02 ,     0.350469738467695E+00 ,    -0.260290473162462E+01 ,     0.104387974063244E+03 ,    -0.110152135718298E+03 ,    -0.191776543186366E+00 ,     0.129712335987052E+03 ,     0.110106546515973E+02 ,    -0.382177238018961E+00 , 
   0.12000 ,    -0.121595140459326E+02 ,     0.332576709989245E+01 ,     0.964918160079230E+01 ,     0.337504665682084E+01 ,     0.256895246120910E+02 ,    -0.551691890253160E+02 ,    -0.554798110139161E+01 ,     0.380493058077815E+02 ,    -0.270369613054082E+01 ,    -0.206059527521250E+01 , 
   0.14000 ,    -0.163143741815557E+02 ,     0.105167216586198E+02 ,     0.119360569654540E+02 ,     0.452868693895270E+01 ,    -0.569588409787686E+01 ,    -0.283110626674474E+02 ,    -0.652223425051048E+01 ,     0.496255286860998E+00 ,    -0.656534075370792E+01 ,    -0.269209837976113E+01 , 
   0.16000 ,    -0.753524763509023E+01 ,     0.339178262132978E+01 ,     0.403029895130953E+01 ,     0.829826953268623E+00 ,    -0.294395285562193E+01 ,    -0.128852317314054E+02 ,    -0.168620342588101E+01 ,    -0.805869447727984E+00 ,    -0.132428504802706E+01 ,    -0.205330427038092E+01 , 
   0.18000 ,     0.211554703000821E+01 ,    -0.643137450782327E+01 ,    -0.532904562592093E+01 ,    -0.287340786187038E+01 ,     0.724348907586571E+01 ,    -0.392007353824390E+01 ,     0.342360132566196E+01 ,     0.675477563037535E+01 ,     0.471703411126257E+01 ,    -0.110368999636237E+01 , 
