 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.880512989401353E+02 ,    -0.105930413005367E+02 ,     0.195189736115689E+03 ,     0.346952227773395E+02 ,     0.277959450409309E+04 ,    -0.318303227985489E+04 ,    -0.122692982731059E+03 ,     0.317595967863440E+04 ,     0.126206952005656E+02 ,    -0.832340064664873E+01 , 
   0.02000 ,    -0.705644144983464E+02 ,    -0.212252239933087E+02 ,     0.169723583216966E+03 ,     0.278312576760765E+02 ,     0.257805867334912E+04 ,    -0.292153522573361E+04 ,    -0.107015488390406E+03 ,     0.293532747750389E+04 ,     0.199510726509006E+02 ,    -0.679501220086151E+01 , 
   0.04000 ,    -0.307371562199815E+02 ,    -0.429814409314730E+02 ,     0.108331702243430E+03 ,     0.121826273239086E+02 ,     0.203861561792061E+04 ,    -0.224083731271251E+04 ,    -0.692077603425232E+02 ,     0.229783536261056E+04 ,     0.345891644768516E+02 ,    -0.329502187124578E+01 , 
   0.06000 ,     0.425188584209527E+01 ,    -0.547708607002830E+02 ,     0.446599433965640E+02 ,    -0.164690950524531E+01 ,     0.133024515463731E+04 ,    -0.139470892130012E+04 ,    -0.298679687323345E+02 ,     0.147701471942916E+04 ,     0.414496170769947E+02 ,    -0.191195644580870E+00 , 
   0.08000 ,     0.149957941652082E+02 ,    -0.437527484575711E+02 ,     0.655560463235919E+01 ,    -0.614945229483202E+01 ,     0.657063861157062E+03 ,    -0.652685296943987E+03 ,    -0.588424719476368E+01 ,     0.717988033789916E+03 ,     0.318840966769182E+02 ,     0.749600562562246E+00 , 
   0.10000 ,     0.370854143522453E+01 ,    -0.165228588591660E+02 ,    -0.117725603610398E+01 ,    -0.225313791277488E+01 ,     0.177063423499273E+03 ,    -0.175837905276129E+03 ,    -0.595504720745770E-01 ,     0.194126783345891E+03 ,     0.114872592805909E+02 ,    -0.384637957138504E+00 , 
   0.12000 ,    -0.116441292642130E+02 ,     0.759286431997913E+01 ,     0.593046587010009E+01 ,     0.310647452795714E+01 ,    -0.540625313673668E+02 ,     0.265388782651579E+02 ,    -0.313262493794744E+01 ,    -0.496185638596931E+02 ,    -0.551471865268052E+01 ,    -0.202644503370022E+01 , 
   0.14000 ,    -0.154853002625418E+02 ,     0.140017853066414E+02 ,     0.945822998345384E+01 ,     0.409390601081023E+01 ,    -0.866367408440402E+02 ,     0.507990542676505E+02 ,    -0.448816181635875E+01 ,    -0.836027899767473E+02 ,    -0.927706940481932E+01 ,    -0.265232421102361E+01 , 
   0.16000 ,    -0.730073663732216E+01 ,     0.445854524001532E+01 ,     0.339576893101581E+01 ,     0.739620519290736E+00 ,    -0.288998718257492E+02 ,     0.129429439421759E+02 ,    -0.983385650719298E+00 ,    -0.282336244301544E+02 ,    -0.213622704164614E+01 ,    -0.201863743190183E+01 , 
   0.18000 ,     0.166014129742562E+01 ,    -0.708221915456108E+01 ,    -0.507159613483671E+01 ,    -0.258146536663525E+01 ,     0.216289285455122E+02 ,    -0.150507716920800E+02 ,     0.319731454818390E+01 ,     0.188922758480692E+02 ,     0.546608534814253E+01 ,    -0.108132098684539E+01 , 
   0.20000 ,     0.187998096235239E+01 ,    -0.880053424873010E+01 ,    -0.678506116699775E+01 ,    -0.243684621056378E+01 ,     0.246154503232057E+02 ,    -0.171041093692428E+02 ,     0.336753184333205E+01 ,     0.217844506617507E+02 ,     0.573104809340549E+01 ,    -0.867840052117203E+00 , 
   0.22000 ,    -0.528881308885844E+01 ,    -0.108771241184286E+01 ,    -0.942430711067378E+00 ,     0.356849334848000E+00 ,    -0.335344954290264E+01 ,    -0.728544317806459E+01 ,    -0.166168393403232E+00 ,    -0.264483156879780E+01 ,    -0.210936389828035E-01 ,    -0.148775862366732E+01 , 
   0.24000 ,    -0.109871099593190E+02 ,     0.638863422670639E+01 ,     0.519352954884245E+01 ,     0.233240101784749E+01 ,    -0.253730555960788E+02 ,    -0.107512357947162E+00 ,    -0.308897115102338E+01 ,    -0.218150835870935E+02 ,    -0.463268167250474E+01 ,    -0.218495963492494E+01 , 
   0.26000 ,    -0.930924184540283E+01 ,     0.592761654510498E+01 ,     0.500444058954814E+01 ,     0.145352905477020E+01 ,    -0.226111581945420E+02 ,     0.119782204209335E+01 ,    -0.228766773756053E+01 ,    -0.202713068235039E+02 ,    -0.344536665935346E+01 ,    -0.222992854161798E+01 , 
   0.28000 ,    -0.310030333839444E+01 ,    -0.761894629079983E+00 ,    -0.584147031037419E+00 ,    -0.924171585801023E+00 ,    -0.526797349573985E+01 ,    -0.539999254392708E-01 ,     0.921422548743462E+00 ,    -0.664745642498778E+01 ,     0.132951762744829E+01 ,    -0.166187105030277E+01 , 
   0.30000 ,     0.275901520010944E+00 ,    -0.572628611543661E+01 ,    -0.496446693619072E+01 ,    -0.198162623352612E+01 ,     0.524964488390066E+01 ,    -0.151448967079428E+01 ,     0.274998596036990E+01 ,     0.199311393457700E+01 ,     0.400120012020147E+01 ,    -0.115535930486607E+01 , 
   0.32000 ,    -0.256033967329945E+01 ,    -0.390093213393799E+01 ,    -0.350226858302103E+01 ,    -0.695430138236788E+00 ,    -0.701404881523706E-01 ,    -0.330649927555161E+01 ,     0.134528460246683E+01 ,    -0.145219292968372E+01 ,     0.193257090167467E+01 ,    -0.124573035412721E+01 , 
   0.34000 ,    -0.779664073115207E+01 ,     0.191462899723444E+01 ,     0.170106525565323E+01 ,     0.124391355326477E+01 ,    -0.116468126641754E+02 ,    -0.538243070494925E+01 ,    -0.139295968270174E+01 ,    -0.992963674461122E+01 ,    -0.203984988572618E+01 ,    -0.177856309531897E+01 , 
