 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.901124633076972E+02 ,     0.327237397884612E+02 ,     0.149649756878850E+03 ,     0.382924228044617E+02 ,     0.657558981747394E+03 ,    -0.984999311140003E+03 ,    -0.924366497744747E+02 ,     0.899906859401574E+03 ,    -0.100553774807960E+02 ,    -0.863737006186818E+01 , 
   0.02000 ,    -0.720850585115132E+02 ,     0.183767217161343E+02 ,     0.128554120071464E+03 ,     0.307760031207182E+02 ,     0.634050382633709E+03 ,    -0.910138818417224E+03 ,    -0.793669832064830E+02 ,     0.855652793949476E+03 ,    -0.144466162399905E+01 ,    -0.697805321125762E+01 , 
   0.04000 ,    -0.310581827043915E+02 ,    -0.132793838186797E+02 ,     0.785293130158425E+02 ,     0.136177789296967E+02 ,     0.560689860971480E+03 ,    -0.717148345649626E+03 ,    -0.484708274430730E+02 ,     0.729804136468907E+03 ,     0.170045844644799E+02 ,    -0.319710104497553E+01 , 
   0.06000 ,     0.489676542835831E+01 ,    -0.379057214119416E+02 ,     0.288895453101228E+02 ,    -0.160783363489395E+01 ,     0.437571721838061E+03 ,    -0.481051770420354E+03 ,    -0.179983880641388E+02 ,     0.545105839453730E+03 ,     0.297923116769254E+02 ,     0.103442292359787E+00 , 
   0.08000 ,     0.157763010223059E+02 ,    -0.387017463458790E+02 ,     0.273973189152950E+01 ,    -0.667699082976916E+01 ,     0.282983376544123E+03 ,    -0.276172714352180E+03 ,    -0.205542721120993E+01 ,     0.340939723956080E+03 ,     0.269666708065851E+02 ,     0.100788592598992E+01 , 
   0.10000 ,     0.394534280087838E+01 ,    -0.191930575009534E+02 ,     0.192298440820093E+01 ,    -0.254627690829661E+01 ,     0.135230077112473E+03 ,    -0.139976404987884E+03 ,    -0.139947642281654E+01 ,     0.164055745336271E+03 ,     0.121083378060152E+02 ,    -0.338157713696652E+00 , 
   0.12000 ,    -0.119762982732270E+02 ,     0.228856574192442E+01 ,     0.107293659059488E+02 ,     0.326284655657377E+01 ,     0.336144557672619E+02 ,    -0.675104064537800E+02 ,    -0.623325641086502E+01 ,     0.492178729935474E+02 ,    -0.221521508536406E+01 ,    -0.217387677849829E+01 , 
   0.14000 ,    -0.159024858472317E+02 ,     0.992431965368915E+01 ,     0.127355202879564E+02 ,     0.438217882537324E+01 ,    -0.678518588128856E+01 ,    -0.327154680019516E+02 ,    -0.688603979398518E+01 ,     0.227000672083667E+01 ,    -0.632854944150513E+01 ,    -0.282977374690198E+01 , 
   0.16000 ,    -0.736870002217022E+01 ,     0.301472874362508E+01 ,     0.448574349029855E+01 ,     0.795017873116103E+00 ,    -0.362385117198959E+01 ,    -0.138537368978372E+02 ,    -0.185586557615981E+01 ,     0.331106678906933E-01 ,    -0.112606111680908E+01 ,    -0.208167982307536E+01 , 
   0.18000 ,     0.193277398754072E+01 ,    -0.665001211453043E+01 ,    -0.521638634033516E+01 ,    -0.278428423938630E+01 ,     0.921123153046184E+01 ,    -0.340998484143293E+01 ,     0.335708617781195E+01 ,     0.875217340868565E+01 ,     0.489182679127931E+01 ,    -0.102351182387552E+01 , 
   0.20000 ,     0.214900533924023E+01 ,    -0.804841474426218E+01 ,    -0.702486766198301E+01 ,    -0.263238373739726E+01 ,     0.832444238673065E+01 ,    -0.133105207489955E+01 ,     0.367770625144210E+01 ,     0.691697235383471E+01 ,     0.494957021227094E+01 ,    -0.792384566157042E+00 , 
   0.22000 ,    -0.529158034331598E+01 ,    -0.999724974058077E+00 ,    -0.829147414530989E+00 ,     0.385639668423761E+00 ,    -0.563010020882794E+01 ,    -0.502252929449736E+01 ,    -0.181319865392583E+00 ,    -0.528416338545817E+01 ,    -0.392410298454860E-01 ,    -0.148406055546090E+01 , 
   0.24000 ,    -0.111971895896452E+02 ,     0.588327329536611E+01 ,     0.545575335196998E+01 ,     0.252732001262004E+01 ,    -0.171097783857894E+02 ,    -0.786901738748651E+01 ,    -0.332304918055104E+01 ,    -0.151508932012591E+02 ,    -0.402291750267212E+01 ,    -0.224422085217159E+01 , 
