 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.909711583255106E+02 ,    -0.239596982490803E+02 ,     0.215724175336817E+03 ,     0.358934673080940E+02 ,     0.427938607836054E+04 ,    -0.471543287921328E+04 ,    -0.134791952572891E+03 ,     0.475183506863107E+04 ,     0.222601025130495E+02 ,    -0.858918392685269E+01 , 
   0.02000 ,    -0.729161923421648E+02 ,    -0.338757960735764E+02 ,     0.188021481902704E+03 ,     0.287516229402567E+02 ,     0.395554816327172E+04 ,    -0.432849885676061E+04 ,    -0.118155946402991E+03 ,     0.438036808296116E+04 ,     0.291260702264911E+02 ,    -0.702326097610185E+01 , 
   0.04000 ,    -0.317925379393092E+02 ,    -0.535092820198578E+02 ,     0.121045878000176E+03 ,     0.124770894183910E+02 ,     0.309572330784714E+04 ,    -0.331943461154649E+04 ,    -0.778000408253371E+02 ,     0.340135342308902E+04 ,     0.423309587707532E+02 ,    -0.343563831620802E+01 , 
   0.06000 ,     0.434570717062160E+01 ,    -0.620182482236719E+02 ,     0.510570031323942E+02 ,    -0.188463569718432E+01 ,     0.198445952067382E+04 ,    -0.206095448806397E+04 ,    -0.351648601616892E+02 ,     0.215412962575220E+04 ,     0.468524742066258E+02 ,    -0.248904297601795E+00 , 
   0.08000 ,     0.154700804235671E+02 ,    -0.472933719070712E+02 ,     0.831671622806590E+01 ,    -0.652283028712675E+01 ,     0.953026203431752E+03 ,    -0.953079031834621E+03 ,    -0.813884069554798E+01 ,     0.102015162883663E+04 ,     0.345121703452058E+02 ,     0.728158079651428E+00 , 
   0.10000 ,     0.386831976618002E+01 ,    -0.170249399028819E+02 ,    -0.147645764245531E+01 ,    -0.242153789571976E+01 ,     0.241170878553382E+03 ,    -0.240236341680753E+03 ,    -0.270676781216514E+00 ,     0.257513394121666E+03 ,     0.117539206280712E+02 ,    -0.416632671900991E+00 , 
   0.12000 ,    -0.119228768063972E+02 ,     0.859510391711192E+01 ,     0.545002399830530E+01 ,     0.318404263679936E+01 ,    -0.845252767836281E+02 ,     0.578463849004304E+02 ,    -0.251883591641338E+01 ,    -0.811192254848859E+02 ,    -0.644969078215577E+01 ,    -0.208204036862248E+01 , 
   0.14000 ,    -0.158434155814053E+02 ,     0.149341854206688E+02 ,     0.937303654444848E+01 ,     0.422100457332460E+01 ,    -0.119333557493471E+03 ,     0.840127743135394E+02 ,    -0.396292149341151E+01 ,    -0.116132746102958E+03 ,    -0.101522526374950E+02 ,    -0.271078335430643E+01 , 
   0.16000 ,    -0.737828131673511E+01 ,     0.455219474143118E+01 ,     0.344712079239257E+01 ,     0.736342007603098E+00 ,    -0.329394935862386E+02 ,     0.170435019406165E+02 ,    -0.889384321686952E+00 ,    -0.321687266660643E+02 ,    -0.230506974898405E+01 ,    -0.205339629618163E+01 , 
   0.18000 ,     0.186363454962122E+01 ,    -0.758775590553047E+01 ,    -0.517151211349451E+01 ,    -0.270505749783187E+01 ,     0.351692273126638E+02 ,    -0.286361611314592E+02 ,     0.300144873102250E+01 ,     0.316356743047149E+02 ,     0.582553331299940E+01 ,    -0.108670431703223E+01 , 
   0.20000 ,     0.207940021556626E+01 ,    -0.920891826368966E+01 ,    -0.697049287412688E+01 ,    -0.253572068021100E+01 ,     0.350897958096532E+02 ,    -0.275503492348215E+02 ,     0.319066676981213E+01 ,     0.312715331338666E+02 ,     0.604332695887847E+01 ,    -0.861009670742961E+00 , 
   0.22000 ,    -0.531574333990712E+01 ,    -0.100660827652797E+01 ,    -0.982072947434443E+00 ,     0.380333049281609E+00 ,    -0.448318087289913E+01 ,    -0.612536059050569E+01 ,    -0.149311677166055E+00 ,    -0.386973185921144E+01 ,    -0.101646906352674E+00 ,    -0.148870062432493E+01 , 
   0.24000 ,    -0.111790809817197E+02 ,     0.675209999196208E+01 ,     0.535617744935335E+01 ,     0.242963084912688E+01 ,    -0.325827573042618E+02 ,     0.705573373145430E+01 ,    -0.293424731982933E+01 ,    -0.282141683540117E+02 ,    -0.496090567068112E+01 ,    -0.219744101132633E+01 , 
